headline,short_description,authors,date,label
REI Workers At Berkeley Store Vote To Unionize In Another Win For Labor,They follow in the footsteps of REI workers in New York City who formed a union earlier this year.,Dave Jamieson,2022-08-25,0
Crypto Crash Leaves Trading Platform Coinbase Slumped,Cryptocurrency trading platform Coinbase has lost half its value in the past week.,"Matt Ott, AP",2022-05-12,-1
Elon Musk Offers To Buy 100% Of Twitter,"“My offer is my best and final offer and if it is not accepted, I would need to reconsider my position as a shareholder,” Musk said in a filing.",Marita Vlachou,2022-04-14,-1
3 More Starbucks Stores Vote To Unionize In Another Victory For Labor Campaign,That makes six union Starbucks stores with more than a hundred others seeking elections.,Dave Jamieson,2022-03-09,0
Another Starbucks Store Votes To Unionize,The store in Arizona joins two in New York as the only corporate Starbucks stores with a union.,Dave Jamieson,2022-02-25,0
Holiday Sales Rise Despite Supply Issues And Omicron,"After omicron hit, some consumers stayed home and shifted their spending to e-commerce -- but sales stayed strong.","Paul Wiseman and Anne D'Innocenzio, AP",2021-12-26,1
Flight Attendants At American Airlines Subsidiary Threaten To Strike,Workers at Piedmont Airlines say their wages are too low to live on. Now they might join other striking workers.,Dave Jamieson,2021-10-21,-1
GameStop Soars Again; Wall Street Bends Under The Pressure,"The video game retailer shot up nearly 70%, clawing back much of its steep loss from the day before.","Stan Choe, Damian J. Troise, and Alex Veiga, AP",2021-01-30,1
Child Labor In Palm Oil Industry Tied To Girl Scout Cookies,"“I am dreaming one day I can go back to school,"" said a 10-year-old Indonesian girl who works at a palm oil plantation that helps produce the cookies and other Western brand items.","ROBIN McDOWELL and MARGIE MASON, AP",2020-12-29,0
White Workers Are Getting Hired Back Twice As Fast As Black Workers,Nearly all the improvement in the unemployment rate over the past few months has been for white workers.,Emily Peck,2020-09-15,0
The Election Could Ultimately Decide The Dakota Access Pipeline’s Fate,The controversial oil route once again fended off an order to shut down -- for now.,Alexander C. Kaufman,2020-08-05,0
Lululemon Apologizes For Art Director's Post About Racist 'Bat Fried Rice' T-Shirt,"The athletic apparel brand said the offensive shirt wasn't its product and the executive who promoted it on Instagram is ""no longer an employee.""",Jenna Amatulli,2020-04-22,0
Four Seasons Offers Free Rooms To NYC Health Care Workers Responding To Coronavirus,"Several other luxury hotels stepped up later to offer beds to medical workers in the midst of the pandemic, Gov. Andrew Cuomo said.",Jenna Amatulli,2020-03-26,1
"Airbnb Bans Open-Invite Parties, Unruly Guests After Fatal Halloween Shooting",The company is revamping its guest standards and banning open-invite parties across the app after a shooting at a San Francisco rental left five people dead.,Carla Herreria Russo,2019-12-06,-1
